,name,url,type,text
21,Lucky,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/lucky/9394/,dogs,"Lucky is a Collie X of 5 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/lucky/9394/ dogeDancin"
22,Luna,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/luna/9382/,dogs,"Luna is a Hungarian Vizsla of 16 months, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/luna/9382/ dogeDancin"
23,Nelson,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/nelson/6968/,dogs,"Nelson is a German Shepherd X of 7 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/nelson/6968/ dogeDancin"
24,Nora,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/nora/9295/,dogs,"Nora is a Lurcher of 12 months, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/nora/9295/ dogeDancin"
25,Oscar,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/oscar/9271/,dogs,"Oscar is a Staffordshire Bull Terrier X of 3 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/oscar/9271/ dogeDancin"
26,Pibble,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/pibble/9275/,dogs,"Pibble is a Dogue de Bordeaux X of 3 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/pibble/9275/ dogeDancin"
27,Rex,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/rex/9330/,dogs,"Rex is a Weimeraner of 2 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/rex/9330/ dogeDancin"
28,Rex,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/rex/9351/,dogs,"Rex is a German Shepherd X of 2 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/rex/9351/ dogeDancin"
29,Roxanne,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/roxanne/8590/,dogs,"Roxanne is a Staffordshire Bull Terrier X of 3 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/roxanne/8590/ dogeDancin"
30,Sasha,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/sasha/66/,dogs,"Sasha is a English Bull Terrier X of 12 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/sasha/66/ dogeDancin"
31,Scout,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/scout/9064/,dogs,"Scout is a Lurcher of 7 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/scout/9064/ dogeDancin"
32,Sue,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/sue/8691/,dogs,"Sue is a Lurcher of 3 years, and a very good doggo! Find more about her at http://lucita.hopto.org/dogs/sue/8691/ dogeDancin"
33,Ted,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/ted/9378/,dogs,"Ted is a Pug X of 15 months, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/ted/9378/ dogeDancin"
34,Tica,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/tica/9381/,dogs,"Tica is a Terrier X of 9 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/tica/9381/ dogeDancin"
35,Tom,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/tom/4074/,dogs,"Tom is a Crossbreed of 8 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/tom/4074/ dogeDancin"
36,Tyson,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/tyson/7077/,dogs,"Tyson is a American Bulldog X of 5 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/tyson/7077/ dogeDancin"
37,Watson,https://www.bathcatsanddogshome.org.uk/rehoming/dogs/watson/7721/,dogs,"Watson is a Lurcher of 8 years, and a very good doggo! Find more about him at http://lucita.hopto.org/dogs/watson/7721/ dogeDancin"
38,Aster,https://www.bathcatsanddogshome.org.uk/rehoming/cats/aster/9163/,cats,"Aster is a Short hair of 12 years, and a very good catto! Find more about him at http://lucita.hopto.org/cats/aster/9163/ PettheRoxy"
39,Bramble,https://www.bathcatsanddogshome.org.uk/rehoming/cats/bramble/9262/,cats,"Bramble is a Short hair of 5 years, and a very good catto! Find more about him at http://lucita.hopto.org/cats/bramble/9262/ PettheRoxy"
40,Cookie,https://www.bathcatsanddogshome.org.uk/rehoming/cats/cookie/9324/,cats,"Cookie is a Short hair of 16 months, and a very good catto! Find more about her at http://lucita.hopto.org/cats/cookie/9324/ PettheRoxy"
41,Dizzy,https://www.bathcatsanddogshome.org.uk/rehoming/cats/dizzy/9266/,cats,"Dizzy is a Short hair of 22 months, and a very good catto! Find more about her at http://lucita.hopto.org/cats/dizzy/9266/ PettheRoxy"
42,Flint,https://www.bathcatsanddogshome.org.uk/rehoming/cats/flint/9389/,cats,"Flint is a Semi long hair of 2 years, and a very good catto! Find more about her at http://lucita.hopto.org/cats/flint/9389/ PettheRoxy"
43,Ginny,https://www.bathcatsanddogshome.org.uk/rehoming/cats/ginny/9323/,cats,"Ginny is a Short hair of 15 months, and a very good catto! Find more about her at http://lucita.hopto.org/cats/ginny/9323/ PettheRoxy"
44,Isabella,https://www.bathcatsanddogshome.org.uk/rehoming/cats/isabella/9319/,cats,"Isabella is a Short hair of 7 years, and a very good catto! Find more about her at http://lucita.hopto.org/cats/isabella/9319/ PettheRoxy"
45,Jake,https://www.bathcatsanddogshome.org.uk/rehoming/cats/jake/9346/,cats,"Jake is a Semi long hair of 12 years, and a very good catto! Find more about him at http://lucita.hopto.org/cats/jake/9346/ PettheRoxy"
46,Kitty,https://www.bathcatsanddogshome.org.uk/rehoming/cats/kitty/9321/,cats,"Kitty is a Semi long hair of 10 years, and a very good catto! Find more about her at http://lucita.hopto.org/cats/kitty/9321/ PettheRoxy"
47,Ryder,https://www.bathcatsanddogshome.org.uk/rehoming/cats/ryder/9333/,cats,"Ryder is a Short hair of 16 months, and a very good catto! Find more about him at http://lucita.hopto.org/cats/ryder/9333/ PettheRoxy"
48,Widget,https://www.bathcatsanddogshome.org.uk/rehoming/cats/widget/9375/,cats,"Widget is a Short hair of 13 years, and a very good catto! Find more about him at http://lucita.hopto.org/cats/widget/9375/ PettheRoxy"
